task_id,input_height,input_width,output_height,output_width,size_ratio,input_colors,output_colors,color_change,shape_change,grid_area,complexity_score,training_examples,pattern_type,confidence
a64e4611,30,30,30,30,1.0,2,3,True,False,900,18.16,3,mapping,0.9
a65b410d,8,9,8,9,1.0,2,4,True,False,72,1.62,3,mapping,0.9
a680ac02,21,16,8,4,0.09523809523809523,5,3,True,True,336,6.94,3,extraction,0.85
a68b268e,9,9,4,4,0.19753086419753085,6,5,True,True,81,1.96,6,extraction,0.85
a6953f00,4,4,2,2,0.25,9,4,True,True,16,0.64,3,extraction,0.85
a699fb00,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
a740d043,7,7,2,3,0.12244897959183673,3,3,True,True,49,1.16,3,extraction,0.85
a78176bb,10,10,10,10,1.0,3,2,True,False,100,2.16,3,mapping,0.9
a79310a0,3,3,3,3,1.0,2,2,True,False,9,0.32,3,mapping,0.9
a834deea,12,12,12,12,1.0,2,10,True,False,144,3.18,3,mapping,0.9
a85d4709,3,3,3,3,1.0,2,2,True,False,9,0.34,4,mapping,0.9
a8610ef7,6,6,6,6,1.0,2,3,True,False,36,0.9,4,mapping,0.9
a87f7484,3,15,3,3,0.2,6,2,True,True,45,1.14,4,extraction,0.85
a8c38be5,16,14,9,9,0.36160714285714285,10,9,True,True,224,4.9,2,extraction,0.85
a8d7556c,18,18,18,18,1.0,2,3,True,False,324,6.64,3,mapping,0.9
a934301b,14,14,14,14,1.0,3,3,False,False,196,4.1,3,symmetry,0.6
a9f96cdd,3,5,3,5,1.0,2,3,True,False,15,0.48,4,mapping,0.9
aa18de87,5,12,5,12,1.0,2,3,True,False,60,1.38,4,mapping,0.9
aa300dc3,10,10,10,10,1.0,2,3,True,False,100,2.18,4,mapping,0.9
aa62e3f4,16,16,16,16,1.0,4,2,True,False,256,5.28,2,mapping,0.9
aab50785,12,17,6,5,0.14705882352941177,10,8,True,True,204,4.54,5,extraction,0.85
aabf363d,7,7,7,7,1.0,3,2,True,False,49,1.12,2,mapping,0.9
aaecdb9a,10,10,2,5,0.1,4,4,False,True,100,2.22,3,extraction,0.85
aaef0977,8,8,8,8,1.0,2,9,True,False,64,1.54,2,mapping,0.9
aba27056,9,9,9,9,1.0,2,3,True,False,81,1.78,3,mapping,0.9
abbfd121,22,20,7,7,0.11136363636363636,6,4,True,True,440,9.06,3,extraction,0.85
ac0a08a4,3,3,9,9,9.0,4,4,False,True,9,0.4,3,tiling,0.9
ac0c2ac3,9,9,9,9,1.0,6,5,True,False,81,1.9,3,mapping,0.9
ac0c5833,26,26,26,26,1.0,3,3,False,False,676,13.7,3,symmetry,0.6
ac2e8ecf,13,13,13,13,1.0,5,5,False,False,169,3.64,3,symmetry,0.6
ac3e2b04,12,12,12,12,1.0,3,4,True,False,144,3.1,4,mapping,0.9
ac605cbb,11,11,11,11,1.0,4,6,True,False,121,2.74,6,mapping,0.9
ac6f9922,17,17,2,2,0.01384083044982699,4,3,True,True,289,5.98,3,extraction,0.85
ad173014,20,22,20,22,1.0,6,6,False,False,440,9.1,3,symmetry,0.6
ad38a9d0,9,9,9,9,1.0,2,7,True,False,81,1.84,2,mapping,0.9
ad3b40cf,9,9,9,9,1.0,4,4,False,False,81,1.84,3,symmetry,0.6
ad7e01d0,4,4,16,16,16.0,4,4,False,True,16,0.56,4,tiling,0.9
ae3edfdc,15,15,15,15,1.0,5,5,False,False,225,4.76,3,symmetry,0.6
ae4f1146,9,9,3,3,0.1111111111111111,3,2,True,True,81,1.8,4,extraction,0.85
ae58858e,6,6,6,6,1.0,2,3,True,False,36,0.9,4,mapping,0.9
aedd82e4,5,4,5,4,1.0,2,3,True,False,20,0.58,4,mapping,0.9
aee291af,16,16,4,4,0.0625,3,2,True,True,256,5.28,3,extraction,0.85
af24b4cc,9,10,4,5,0.2222222222222222,9,7,True,True,90,2.18,3,extraction,0.85
af726779,11,16,11,16,1.0,2,3,True,False,176,3.68,3,mapping,0.9
af902bf9,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
afe3afe9,30,30,7,6,0.04666666666666667,5,4,True,True,900,18.24,3,extraction,0.85
b0722778,8,9,8,2,0.2222222222222222,9,6,True,True,72,1.78,2,extraction,0.85
b0c4d837,9,9,3,3,0.1111111111111111,3,2,True,True,81,1.84,6,extraction,0.85
b0f4d537,11,13,11,7,0.5384615384615384,6,4,True,True,143,3.14,4,extraction,0.85
b15fca0b,6,6,6,6,1.0,3,4,True,False,36,0.96,5,mapping,0.9
b190f7f5,3,6,9,9,4.5,5,4,True,True,18,0.6,3,tiling,0.9
b1948b0a,6,4,6,4,1.0,2,2,True,False,24,0.62,3,mapping,0.9
b1986d4b,28,28,5,16,0.10204081632653061,5,4,True,True,784,15.92,3,extraction,0.85
b1fc8b8e,6,6,5,5,0.6944444444444444,2,2,False,True,36,0.9,5,extraction,0.85
b20f7c8b,18,22,18,22,1.0,7,7,False,False,396,8.26,3,symmetry,0.6
b230c067,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
b25e450b,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
b27ca6d3,15,16,15,16,1.0,2,3,True,False,240,4.94,2,mapping,0.9
b2862040,12,13,12,13,1.0,2,3,True,False,156,3.3,4,mapping,0.9
b2bc3ffd,8,8,8,8,1.0,4,4,False,False,64,1.5,3,symmetry,0.6
b457fec5,17,18,17,18,1.0,5,4,True,False,306,6.36,3,mapping,0.9
b4a43f3b,13,6,18,18,4.153846153846154,5,4,True,True,78,1.82,4,tiling,0.9
b527c5c6,20,20,20,20,1.0,3,3,False,False,400,8.2,4,symmetry,0.6
b548a754,11,11,11,11,1.0,4,3,True,False,121,2.62,3,mapping,0.9
b5bb5719,3,5,3,5,1.0,3,3,False,False,15,0.56,7,symmetry,0.6
b60334d2,9,9,9,9,1.0,2,3,True,False,81,1.76,2,mapping,0.9
b6afb2da,10,10,10,10,1.0,2,4,True,False,100,2.16,2,mapping,0.9
b71a7747,19,19,12,12,0.3988919667590028,5,2,True,True,361,7.4,2,extraction,0.85
b7249182,10,13,10,13,1.0,3,3,False,False,130,2.78,3,symmetry,0.6
b7256dcd,5,5,5,5,1.0,4,3,True,False,25,0.68,2,mapping,0.9
b745798f,11,11,11,11,1.0,4,4,False,False,121,2.64,3,symmetry,0.6
b74ca5d1,30,30,30,30,1.0,9,9,False,False,900,18.42,3,symmetry,0.6
b775ac94,20,20,20,20,1.0,5,5,False,False,400,8.26,3,symmetry,0.6
b782dc8a,13,14,13,14,1.0,4,4,False,False,182,3.84,2,symmetry,0.6
b7955b3c,18,14,18,14,1.0,7,6,True,False,252,5.36,3,mapping,0.9
b7999b51,10,15,3,3,0.06,4,4,False,True,150,3.22,3,extraction,0.85
b7cb93ac,10,12,3,4,0.1,4,3,True,True,120,2.6,3,extraction,0.85
b7f8a4d8,24,29,24,29,1.0,5,5,False,False,696,14.18,3,symmetry,0.6
b7fb29bc,15,15,15,15,1.0,2,4,True,False,225,4.68,3,mapping,0.9
b8825c91,16,16,16,16,1.0,9,8,True,False,256,5.54,4,mapping,0.9
b8cdaf2b,5,5,5,5,1.0,3,3,False,False,25,0.7,4,symmetry,0.6
b91ae062,3,3,9,9,9.0,4,4,False,True,9,0.44,5,tiling,0.9
b942fd60,8,8,8,8,1.0,5,5,False,False,64,1.6,6,symmetry,0.6
b94a9452,12,11,3,3,0.06818181818181818,3,2,True,True,132,2.8,3,extraction,0.85
b9630600,30,30,30,30,1.0,2,2,False,False,900,18.14,3,symmetry,0.6
b9b7f026,15,17,1,1,0.00392156862745098,6,1,True,True,255,5.3,3,extraction,0.85
ba1aa698,16,21,16,6,0.2857142857142857,3,3,False,True,336,6.9,3,extraction,0.85
ba26e723,3,13,3,13,1.0,2,3,True,False,39,0.98,5,mapping,0.9
ba97ae07,8,7,8,7,1.0,3,3,False,False,56,1.32,4,symmetry,0.6
ba9d41b8,13,15,13,15,1.0,3,3,False,False,195,4.08,3,symmetry,0.6
bae5c565,13,13,13,13,1.0,9,9,False,False,169,3.78,2,symmetry,0.6
baf41dbf,11,15,11,15,1.0,3,3,False,False,165,3.48,3,symmetry,0.6
bb43febb,10,10,10,10,1.0,2,3,True,False,100,2.14,2,mapping,0.9
bb52a14b,22,22,22,22,1.0,4,4,False,False,484,9.9,3,symmetry,0.6
bbb1b8b6,4,9,4,4,0.4444444444444444,4,2,True,True,36,0.98,7,extraction,0.85
bbc9ae5d,1,6,3,6,3.0,2,2,False,True,6,0.3,5,tiling,0.7
bc1d5164,5,7,3,3,0.2571428571428571,2,2,False,True,35,0.88,5,extraction,0.85
bc4146bd,4,4,4,20,5.0,3,3,False,True,16,0.52,4,tiling,0.9
bc93ec48,10,10,10,10,1.0,7,7,False,False,100,2.34,3,symmetry,0.6
bcb3040b,12,12,12,12,1.0,3,4,True,False,144,3.08,3,mapping,0.9
bd14c3bf,18,18,18,18,1.0,3,3,False,False,324,6.66,3,symmetry,0.6
bd283c4a,10,10,10,10,1.0,4,4,False,False,100,2.2,2,symmetry,0.6
bd4472b8,10,4,10,4,1.0,6,5,True,False,40,1.08,3,mapping,0.9
bd5af378,5,6,5,6,1.0,2,3,True,False,30,0.78,4,mapping,0.9
bda2d7a6,8,8,8,8,1.0,3,3,False,False,64,1.46,3,symmetry,0.6
bdad9b1f,6,6,6,6,1.0,3,4,True,False,36,0.9,2,mapping,0.9
be03b35f,5,5,2,2,0.16,3,2,True,True,25,0.66,3,extraction,0.85
be94b721,6,11,4,3,0.18181818181818182,4,2,True,True,66,1.52,4,extraction,0.85
beb8660c,7,4,7,4,1.0,5,5,False,False,28,0.82,3,symmetry,0.6
bf32578f,6,6,6,6,1.0,2,2,False,False,36,0.86,3,symmetry,0.6
bf699163,17,18,3,3,0.029411764705882353,7,2,True,True,306,6.34,2,extraction,0.85
bf89d739,14,10,14,10,1.0,2,3,True,False,140,2.98,4,mapping,0.9
c074846d,6,7,6,7,1.0,3,4,True,False,42,1.08,5,mapping,0.9
c0f76784,12,12,12,12,1.0,2,5,True,False,144,3.08,3,mapping,0.9
c1990cce,1,5,5,5,5.0,2,3,True,True,5,0.26,3,tiling,0.9
c1d99e64,12,14,12,14,1.0,2,3,True,False,168,3.52,3,mapping,0.9
c3202e5a,23,23,5,5,0.04725897920604915,10,2,True,True,529,10.88,3,extraction,0.85
c35c1b4c,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
c3e719e8,3,3,9,9,9.0,3,4,True,True,9,0.38,3,tiling,0.9
c3fa4749,25,25,25,25,1.0,10,10,False,False,625,12.96,3,symmetry,0.6
c444b776,19,9,19,9,1.0,5,5,False,False,171,3.66,2,symmetry,0.6
c48954c1,3,3,9,9,9.0,4,4,False,True,9,0.4,3,tiling,0.9
c4d1a9ae,10,8,10,8,1.0,4,4,False,False,80,1.8,2,symmetry,0.6
c59eb873,2,2,4,4,4.0,3,3,False,True,4,0.26,3,tiling,0.9
c6141b15,16,16,16,16,1.0,3,3,False,False,256,5.3,3,symmetry,0.6
c61be7dc,11,11,11,11,1.0,3,3,False,False,121,2.6,3,symmetry,0.6
c62e2108,22,19,22,19,1.0,3,2,True,False,418,8.52,3,mapping,0.9
c64f1187,17,18,8,14,0.3660130718954248,6,4,True,True,306,6.36,2,extraction,0.85
c658a4bd,16,16,9,9,0.31640625,6,5,True,True,256,5.38,2,extraction,0.85
c6e1b8da,20,20,20,20,1.0,6,6,False,False,400,8.3,3,symmetry,0.6
c7d4e6ad,10,10,10,10,1.0,5,4,True,False,100,2.22,2,mapping,0.9
c803e39c,5,23,9,9,0.7043478260869566,6,2,True,True,115,2.52,3,extraction,0.85
c87289bb,10,12,10,12,1.0,3,3,False,False,120,2.6,4,symmetry,0.6
c8b7cc0f,9,9,3,3,0.1111111111111111,3,2,True,True,81,1.78,3,extraction,0.85
c8cbb738,10,8,3,3,0.1125,3,3,False,True,80,1.78,3,extraction,0.85
c8f0f002,3,4,3,4,1.0,3,3,True,False,12,0.42,3,mapping,0.9
c909285e,26,26,7,7,0.07248520710059171,5,5,False,True,676,13.78,3,extraction,0.85
c920a713,20,20,9,9,0.2025,6,5,True,True,400,8.28,3,extraction,0.85
c92b942c,4,6,12,18,9.0,2,4,True,True,24,0.68,4,tiling,0.9
c9680e90,9,9,9,9,1.0,5,4,True,False,81,1.86,3,mapping,0.9
c97c0139,19,21,19,21,1.0,2,3,True,False,399,8.12,2,mapping,0.9
c9e6f938,3,3,3,6,2.0,2,2,False,True,9,0.32,3,tiling,0.7
c9f8e694,12,12,12,12,1.0,4,3,True,False,144,3.06,2,mapping,0.9
ca8de6ea,5,5,3,3,0.36,6,5,True,True,25,0.78,3,extraction,0.85
caa06a1f,8,8,8,8,1.0,3,2,True,False,64,1.44,3,mapping,0.9
cad67732,5,5,10,10,4.0,3,3,False,True,25,0.68,3,tiling,0.9
cb227835,12,14,12,14,1.0,2,3,True,False,168,3.52,3,mapping,0.9
cbded52d,8,8,8,8,1.0,4,4,False,False,64,1.5,3,symmetry,0.6
cc9053aa,7,9,7,9,1.0,4,4,False,False,63,1.48,3,symmetry,0.6
ccd554ac,3,3,9,9,9.0,2,2,False,True,9,0.38,6,tiling,0.9
cce03e0d,3,3,9,9,9.0,3,3,False,True,9,0.36,3,tiling,0.9
cd3c21df,12,12,2,2,0.027777777777777776,5,1,True,True,144,3.06,3,extraction,0.85
cdecee7f,10,10,3,3,0.09,8,8,False,True,100,2.38,3,extraction,0.85
ce039d91,10,10,10,10,1.0,2,3,True,False,100,2.18,4,mapping,0.9
ce22a75a,9,9,9,9,1.0,2,2,True,False,81,1.74,2,mapping,0.9
ce4f8723,9,4,4,4,0.4444444444444444,4,2,True,True,36,0.92,4,extraction,0.85
ce602527,19,17,5,3,0.04643962848297214,4,2,True,True,323,6.66,4,extraction,0.85
ce8d95cc,12,9,5,3,0.1388888888888889,4,4,False,True,108,2.4,4,extraction,0.85
ce9e57f2,8,9,8,9,1.0,2,3,True,False,72,1.6,3,mapping,0.9
cf133acc,15,15,15,15,1.0,7,7,False,False,225,4.84,3,symmetry,0.6
cf5fd0ad,3,3,12,12,16.0,4,4,False,True,9,0.4,3,tiling,0.9
cf98881b,4,14,4,4,0.2857142857142857,5,4,True,True,56,1.4,5,extraction,0.85
cfb2ce5a,10,10,10,10,1.0,9,9,False,False,100,2.42,3,symmetry,0.6
d017b73f,3,11,3,9,0.8181818181818182,4,4,False,True,33,0.9,4,extraction,0.6
d037b0a7,3,3,3,3,1.0,4,4,False,False,9,0.4,3,symmetry,0.6
d06dbe63,13,13,13,13,1.0,2,3,True,False,169,3.52,2,mapping,0.9
d07ae81c,12,14,12,14,1.0,4,4,False,False,168,3.58,3,symmetry,0.6
d0f5fe59,12,12,3,3,0.0625,2,2,False,True,144,3.02,3,extraction,0.85
d10ecb37,8,8,2,2,0.0625,3,3,False,True,64,1.46,3,extraction,0.85
d13f3404,3,3,6,6,4.0,4,4,False,True,9,0.4,3,tiling,0.9
d19f7514,12,4,6,4,0.5,3,2,True,True,48,1.14,4,extraction,0.85
d22278a0,13,13,13,13,1.0,3,3,False,False,169,3.58,4,symmetry,0.6
d23f8c26,5,5,5,5,1.0,6,4,True,False,25,0.76,3,mapping,0.9
d255d7a7,14,14,14,14,1.0,3,3,False,False,196,4.1,3,symmetry,0.6
d282b262,15,15,15,15,1.0,8,8,False,False,225,4.88,3,symmetry,0.6
d2abd087,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
d2acf2cb,9,9,9,9,1.0,5,3,True,False,81,1.84,3,mapping,0.9
d304284e,23,28,23,28,1.0,2,3,True,False,644,13.02,2,mapping,0.9
d364b489,10,10,10,10,1.0,2,6,True,False,100,2.2,2,mapping,0.9
d37a1ef5,12,11,12,11,1.0,3,3,False,False,132,2.82,3,symmetry,0.6
d406998b,3,13,3,13,1.0,2,3,True,False,39,0.96,4,mapping,0.9
d43fd935,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
d4469b4b,5,5,3,3,0.36,2,2,True,True,25,0.72,7,extraction,0.85
d47aa2ff,10,21,10,10,0.47619047619047616,5,6,True,True,210,4.48,3,extraction,0.85
d492a647,13,13,13,13,1.0,3,3,False,False,169,3.54,2,symmetry,0.6
d4a91cb9,8,11,8,11,1.0,3,4,True,False,88,1.96,3,mapping,0.9
d4b1c2b1,3,3,9,9,9.0,3,3,False,True,9,0.44,7,tiling,0.9
d4c90558,20,20,2,4,0.02,4,3,True,True,400,8.2,3,extraction,0.85
d4f3cd78,10,10,10,10,1.0,2,3,True,False,100,2.14,2,mapping,0.9
d511f180,3,3,3,3,1.0,7,7,False,False,9,0.52,3,symmetry,0.6
d56f2372,22,17,6,7,0.11229946524064172,5,2,True,True,374,7.68,3,extraction,0.85
d5c634a2,6,7,3,6,0.42857142857142855,2,3,True,True,42,1.08,7,extraction,0.85
d5d6de2d,15,15,15,15,1.0,2,2,True,False,225,4.64,3,mapping,0.9
d631b094,3,3,1,1,0.1111111111111111,2,1,True,True,9,0.32,4,extraction,0.85
d6542281,19,19,19,19,1.0,5,5,False,False,361,7.48,3,symmetry,0.6
d687bc17,12,12,12,12,1.0,7,5,True,False,144,3.18,3,mapping,0.9
d6ad076f,10,10,10,10,1.0,3,4,True,False,100,2.2,3,mapping,0.9
d6e50e54,10,10,10,10,1.0,3,3,True,False,100,2.18,3,mapping,0.9
d749d46f,4,13,10,18,3.4615384615384617,2,2,False,True,52,1.18,3,tiling,0.7
d753a70b,16,16,16,16,1.0,5,5,False,False,256,5.38,3,symmetry,0.6
d89b689b,10,10,10,10,1.0,6,5,True,False,100,2.28,3,mapping,0.9
d8c310e9,5,15,5,15,1.0,4,4,False,False,75,1.72,3,symmetry,0.6
d90796e8,7,6,7,6,1.0,4,5,True,False,42,1.08,3,mapping,0.9
d931c21c,16,14,16,14,1.0,2,4,True,False,224,4.68,4,mapping,0.9
d93c6891,16,16,16,16,1.0,4,4,False,False,256,5.34,3,symmetry,0.6
d94c3b52,17,25,17,25,1.0,3,4,True,False,425,8.7,3,mapping,0.9
d968ffd4,5,16,5,16,1.0,3,3,False,False,80,1.78,3,symmetry,0.6
d9f24cd1,10,10,10,10,1.0,3,3,False,False,100,2.16,2,symmetry,0.6
d9fac9be,11,9,1,1,0.010101010101010102,3,1,True,True,99,2.14,4,extraction,0.85
da2b0fe3,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
da6e95e5,30,30,3,3,0.01,7,2,True,True,900,18.24,3,extraction,0.85
dae9d2b5,3,6,3,3,0.5,3,2,True,True,18,0.56,5,extraction,0.85
db118e2a,9,7,15,15,3.5714285714285716,4,4,False,True,63,1.5,4,tiling,0.7
db3e9e38,7,8,7,8,1.0,2,3,True,False,56,1.26,2,mapping,0.9
db615bd4,25,25,25,25,1.0,5,5,False,False,625,12.76,3,symmetry,0.6
db7260a4,10,10,10,10,1.0,3,3,False,False,100,2.22,5,symmetry,0.6
db93a21d,20,20,20,20,1.0,2,4,True,False,400,8.2,4,mapping,0.9
dbc1a6ce,12,12,12,12,1.0,2,3,True,False,144,3.06,4,mapping,0.9
dc1df850,8,8,8,8,1.0,4,5,True,False,64,1.52,3,mapping,0.9
dc2aa30b,11,11,11,11,1.0,3,3,False,False,121,2.6,3,symmetry,0.6
dc2e9a9d,23,19,23,19,1.0,2,4,True,False,437,8.92,3,mapping,0.9
dc433765,7,7,7,7,1.0,3,3,False,False,49,1.24,7,symmetry,0.6
dc46ea44,11,11,11,11,1.0,4,4,False,False,121,2.64,3,symmetry,0.6
dce56571,7,11,7,11,1.0,2,2,False,False,77,1.68,3,symmetry,0.6
dd2401ed,7,15,7,15,1.0,4,4,False,False,105,2.34,4,symmetry,0.6
ddf7fa4f,10,10,10,10,1.0,5,4,True,False,100,2.24,3,mapping,0.9
de1cd16c,16,17,1,1,0.003676470588235294,5,1,True,True,272,5.64,4,extraction,0.85
de493100,30,30,10,10,0.1111111111111111,8,7,True,True,900,18.38,4,extraction,0.85
ded97339,10,10,10,10,1.0,2,2,False,False,100,2.14,3,symmetry,0.6
df8cc377,20,20,20,20,1.0,5,5,False,False,400,8.26,3,symmetry,0.6
df978a02,16,16,16,16,1.0,5,5,False,False,256,5.38,3,symmetry,0.6
df9fd884,9,9,9,9,1.0,3,3,False,False,81,1.8,3,symmetry,0.6
e048c9ed,4,3,4,3,1.0,3,3,False,False,12,0.44,4,symmetry,0.6
e0fb7511,13,13,13,13,1.0,2,3,True,False,169,3.54,3,mapping,0.9
e133d23d,3,7,3,3,0.42857142857142855,4,2,True,True,21,0.64,5,extraction,0.85
e179c5f4,10,3,10,3,1.0,2,2,True,False,30,0.74,3,mapping,0.9
e1baa8a4,15,14,2,3,0.02857142857142857,6,6,False,True,210,4.52,4,extraction,0.85
e1d2900e,30,30,30,30,1.0,3,3,False,False,900,18.18,3,symmetry,0.6
e2092e0c,15,15,15,15,1.0,10,10,False,False,225,4.96,3,symmetry,0.6
e21a174a,7,7,7,7,1.0,4,4,False,False,49,1.2,3,symmetry,0.6
e21d9049,15,14,15,14,1.0,5,5,False,False,210,4.44,2,symmetry,0.6
e26a3af2,13,14,13,14,1.0,9,3,True,False,182,3.94,3,mapping,0.9
e345f17b,4,8,4,4,0.5,3,2,True,True,32,0.82,4,extraction,0.85
e3497940,10,9,10,4,0.4444444444444444,4,3,True,True,90,2.0,3,extraction,0.85
e39e9282,11,11,11,11,1.0,4,3,True,False,121,2.62,3,mapping,0.9
e3f79277,6,6,16,16,7.111111111111111,2,2,False,True,36,0.84,2,tiling,0.9
e3fe1151,5,5,5,5,1.0,5,5,False,False,25,0.76,3,symmetry,0.6
e4075551,15,14,15,14,1.0,6,7,True,False,210,4.52,3,mapping,0.9
e40b9e2f,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
e41c6fd3,14,30,14,30,1.0,5,5,False,False,420,8.66,3,symmetry,0.6
e45ef808,12,12,12,12,1.0,3,5,True,False,144,3.08,2,mapping,0.9
e4888269,10,20,10,20,1.0,8,8,False,False,200,4.38,3,symmetry,0.6
e48d4e1a,10,10,10,10,1.0,3,2,True,False,100,2.18,4,mapping,0.9
e4941b18,9,9,9,9,1.0,4,4,False,False,81,1.84,3,symmetry,0.6
e5062a87,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
e509e548,10,11,10,11,1.0,2,4,True,False,110,2.38,3,mapping,0.9
e50d258f,10,10,3,3,0.09,4,3,True,True,100,2.2,3,extraction,0.85
e57337a4,15,15,3,3,0.04,2,2,False,True,225,4.64,3,extraction,0.85
e5790162,6,6,6,6,1.0,3,3,False,False,36,0.94,5,symmetry,0.6
e5c44e8f,11,11,11,11,1.0,3,3,False,False,121,2.6,3,symmetry,0.6
e619ca6e,25,22,25,22,1.0,2,2,False,False,550,11.14,3,symmetry,0.6
e633a9e5,3,3,5,5,2.7777777777777777,5,5,False,True,9,0.44,3,tiling,0.7
e6721834,11,20,11,10,0.5,5,4,True,True,220,4.64,3,extraction,0.85
e681b708,22,24,22,24,1.0,5,5,False,False,528,10.82,3,symmetry,0.6
e69241bd,9,9,9,9,1.0,5,5,False,False,81,1.88,3,symmetry,0.6
e6de6e8f,2,12,8,7,2.3333333333333335,2,3,True,True,24,0.64,3,tiling,0.7
e729b7be,17,17,17,17,1.0,7,7,False,False,289,6.12,3,symmetry,0.6
e73095fd,13,16,13,16,1.0,2,3,True,False,208,4.32,3,mapping,0.9
e734a0e8,23,23,23,23,1.0,3,3,False,False,529,10.74,2,symmetry,0.6
e74e1818,11,11,11,11,1.0,6,6,False,False,121,2.72,3,symmetry,0.6
e760a62e,24,24,24,24,1.0,4,5,True,False,576,11.76,3,mapping,0.9
e7639916,8,12,8,12,1.0,2,3,True,False,96,2.08,3,mapping,0.9
e76a88a6,10,10,10,10,1.0,4,3,True,False,100,2.18,2,mapping,0.9
e78887d1,5,15,3,15,0.6,5,5,False,True,75,1.78,4,extraction,0.85
e7a25a18,14,14,6,6,0.1836734693877551,6,5,True,True,196,4.18,2,extraction,0.85
e7b06bea,12,8,12,8,1.0,4,4,False,False,96,2.18,5,symmetry,0.6
e7dd8335,8,9,8,9,1.0,2,3,True,False,72,1.6,3,mapping,0.9
e84fef15,29,29,5,5,0.029726516052318668,5,5,True,True,841,17.08,3,extraction,0.85
e8593010,10,10,10,10,1.0,2,4,True,False,100,2.18,3,mapping,0.9
e872b94a,7,7,3,1,0.061224489795918366,2,1,True,True,49,1.12,4,extraction,0.85
e88171ec,15,15,15,15,1.0,2,3,True,False,225,4.66,3,mapping,0.9
e8dc4411,13,15,13,15,1.0,3,3,False,False,195,4.08,3,symmetry,0.6
e9614598,10,10,10,10,1.0,2,3,True,False,100,2.14,2,mapping,0.9
e98196ab,11,11,5,11,0.45454545454545453,4,3,True,True,121,2.62,3,extraction,0.85
e99362f0,11,9,5,4,0.20202020202020202,6,5,True,True,99,2.32,6,extraction,0.85
e9ac8c9e,10,10,10,10,1.0,6,5,True,False,100,2.28,3,mapping,0.9
e9afcf9a,2,6,2,6,1.0,2,2,False,False,12,0.36,2,symmetry,0.6
e9b4f6fc,13,13,4,7,0.16568047337278108,6,3,True,True,169,3.64,4,extraction,0.85
e9bb6954,18,14,18,14,1.0,9,9,False,False,252,5.48,4,symmetry,0.6
e9c9d9a1,15,12,15,12,1.0,2,7,True,False,180,3.84,3,mapping,0.9
e9fc42f2,13,13,8,5,0.23668639053254437,4,4,False,True,169,3.6,3,extraction,0.85
ea32f347,10,10,10,10,1.0,2,4,True,False,100,2.2,4,mapping,0.9
ea786f4a,5,5,5,5,1.0,2,2,False,False,25,0.64,3,symmetry,0.6
ea959feb,22,25,22,25,1.0,7,7,False,False,550,11.34,3,symmetry,0.6
ea9794b1,10,10,5,5,0.25,5,5,False,True,100,2.32,6,extraction,0.85
eb281b96,4,17,13,17,3.25,2,2,False,True,68,1.48,2,tiling,0.7
eb5a1d5d,22,25,3,3,0.016363636363636365,2,2,False,True,550,11.14,3,extraction,0.85
ec883f72,9,9,9,9,1.0,3,3,False,False,81,1.82,4,symmetry,0.6
ecaa0ec1,11,10,11,10,1.0,4,4,False,False,110,2.44,4,symmetry,0.6
ecb67b6d,6,8,6,8,1.0,2,3,True,False,48,1.12,3,mapping,0.9
ecdecbb3,13,18,13,18,1.0,3,3,False,False,234,4.86,3,symmetry,0.6
ed36ccf7,3,3,3,3,1.0,2,2,False,False,9,0.34,4,symmetry,0.6
ed74f2f2,5,9,3,3,0.2,2,2,True,True,45,1.1,6,extraction,0.85
ed98d772,3,3,6,6,4.0,2,2,False,True,9,0.36,5,tiling,0.9
edcc2ff0,20,10,20,10,1.0,6,5,True,False,200,4.28,3,mapping,0.9
ef135b50,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
ef26cbf6,11,7,11,7,1.0,6,5,True,False,77,1.8,2,mapping,0.9
f0100645,10,10,10,10,1.0,3,3,False,False,100,2.16,2,symmetry,0.6
f0afb749,2,2,4,4,4.0,2,3,True,True,4,0.24,3,tiling,0.9
f0df5ff0,15,15,15,15,1.0,6,6,False,False,225,4.8,3,symmetry,0.6
f0f8a26d,9,9,9,9,1.0,2,2,False,False,81,1.76,3,symmetry,0.6
f15e1fac,14,10,14,10,1.0,3,3,False,False,140,2.98,3,symmetry,0.6
f18ec8cc,9,14,9,14,1.0,3,3,False,False,126,2.72,4,symmetry,0.6
f1bcbc2c,10,10,10,10,1.0,3,3,True,False,100,2.2,4,mapping,0.9
f1cefba8,15,17,15,17,1.0,3,3,False,False,255,5.28,3,symmetry,0.6
f21745ec,21,21,21,21,1.0,6,5,True,False,441,9.1,3,mapping,0.9
